location,date,total,age01,age02,age03,age04,age05,age06,age07,age08,age09,age10,age11,msum,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,fsum,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,usum,u01,u02,u03,u04,u05,u06,u07,u08,u09,u10,u11,,,1,2,3,4,5,6,7,8,9,10,11,msum,fsum,usum
Edmonton,2017 Jan 1,73,0,0,2,19,24,14,8,0,2,3,1,48,0,0,2,11,18,9,5,0,0,2,1,25,0,0,0,8,6,5,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,,0,0,2,19,24,14,8,0,2,3,1,48,25,0
Edmonton,2017 Feb 1,62,0,0,2,26,14,10,7,1,2,0,0,31,0,0,1,12,6,5,4,1,2,0,0,31,0,0,1,14,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,,0,0,2,26,14,10,7,1,2,0,0,31,31,0
Edmonton,2017 Mar 1,97,0,0,6,34,27,16,11,2,0,0,1,62,0,0,4,19,18,11,9,1,0,0,0,35,0,0,2,15,9,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,97,,0,0,6,34,27,16,11,2,0,0,1,62,35,0
Edmonton,2017 Apr 1,83,1,0,2,15,35,16,8,4,1,1,0,55,0,0,1,12,20,11,7,2,1,1,0,28,1,0,1,3,15,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,,1,0,2,15,35,16,8,4,1,1,0,55,28,0
Edmonton,2017 May 1,87,0,0,1,30,31,9,10,2,0,1,3,54,0,0,1,16,20,7,6,2,0,0,2,33,0,0,0,14,11,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,87,,0,0,1,30,31,9,10,2,0,1,3,54,33,0
Edmonton,2017 Jun 1,97,0,0,4,34,28,15,8,2,1,3,2,54,0,0,3,14,20,5,7,1,0,2,2,43,0,0,1,20,8,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,,0,0,4,34,28,15,8,2,1,3,2,54,43,0
Edmonton,2017 Jul 1,104,0,0,3,27,36,15,10,4,4,1,4,54,0,0,1,14,22,5,5,2,1,0,4,50,0,0,2,13,14,10,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104,,0,0,3,27,36,15,10,4,4,1,4,54,50,0
Edmonton,2017 Aug 1,101,0,0,2,35,31,11,8,3,3,3,5,55,0,0,0,16,21,5,4,2,1,1,5,45,0,0,2,19,10,6,3,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,101,,0,0,2,35,31,11,8,3,3,3,5,55,45,1
Edmonton,2017 Sep 1,108,2,0,4,30,26,23,11,3,2,1,6,59,2,0,2,12,16,12,8,3,0,0,4,49,0,0,2,18,10,11,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,108,,2,0,4,30,26,23,11,3,2,1,6,59,49,0
Edmonton,2017 Oct 1,80,0,0,7,22,24,11,8,4,2,1,1,58,0,0,6,16,15,10,6,2,2,0,1,22,0,0,1,6,9,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,,0,0,7,22,24,11,8,4,2,1,1,58,22,0
Edmonton,2017 Nov 1,78,0,0,1,27,19,11,11,3,3,1,2,44,0,0,0,17,13,5,6,2,0,0,1,34,0,0,1,10,6,6,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,78,,0,0,1,27,19,11,11,3,3,1,2,44,34,0
Edmonton,2017 Dec 1,95,0,0,1,29,30,20,14,0,0,0,1,63,0,0,0,19,21,13,9,0,0,0,1,32,0,0,1,10,9,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,,0,0,1,29,30,20,14,0,0,0,1,63,32,0
Edmonton,2018 Jan 1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmonton,2018 Feb 1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmonton,2018 Mar 1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calgary,2017 Jan 1,60,2,0,1,9,24,10,3,4,2,2,3,38,2,0,0,1,22,4,2,3,1,2,1,22,0,0,1,8,2,6,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,60,,,,,,,,,,,,,,,
Calgary,2017 Feb 1,83,1,0,5,25,16,19,11,1,1,1,3,36,0,0,4,10,2,11,6,0,0,1,2,47,1,0,1,15,14,8,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83,,,,,,,,,,,,,,,
Calgary,2017 Mar 1,52,1,0,0,19,0,16,3,3,0,4,6,19,1,0,0,1,0,7,3,1,0,2,4,33,0,0,0,18,0,9,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,52,,,,,,,,,,,,,,,
Calgary,2017 Apr 1,68,3,0,2,18,11,13,12,2,3,1,3,39,2,0,0,6,8,10,8,0,2,0,3,28,1,0,2,12,3,3,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,68,,,,,,,,,,,,,,,
Calgary,2017 May 1,60,2,0,6,20,3,10,6,3,4,0,6,43,2,0,6,18,3,4,1,2,2,0,5,17,0,0,0,2,0,6,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,,,,,,,,,,,,,,,
Calgary,2017 Jun 1,64,1,0,4,14,18,7,10,1,3,4,2,28,0,0,2,10,4,1,6,0,2,2,1,35,1,0,2,4,14,6,3,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,64,,,,,,,,,,,,,,,
Calgary,2017 Jul 1,48,0,0,2,10,1,16,11,0,4,1,3,23,0,0,1,2,1,7,9,0,1,0,2,24,0,0,1,8,0,9,1,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,48,,,,,,,,,,,,,,,
Calgary,2017 Aug 1,81,1,0,6,24,15,14,8,4,2,3,4,45,1,0,5,5,10,13,4,3,0,2,2,36,0,0,1,19,5,1,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,81,,,,,,,,,,,,,,,
Calgary,2017 Sep 1,86,1,0,6,15,30,18,10,3,0,1,2,48,1,0,4,6,16,9,9,2,0,1,0,37,0,0,2,9,14,9,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,86,,,,,,,,,,,,,,,
Calgary,2017 Oct 1,98,3,0,3,33,21,16,10,2,3,2,5,60,2,0,3,16,17,9,4,2,2,0,5,37,1,0,0,17,4,7,5,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,98,,,,,,,,,,,,,,,
Calgary,2017 Nov 1,59,0,0,3,16,12,8,11,0,3,2,4,27,0,0,2,6,3,6,7,0,0,1,2,32,0,0,1,10,9,2,4,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,59,,,,,,,,,,,,,,,
Calgary,2017 Dec 1,70,2,0,3,9,26,9,7,2,3,2,7,44,1,0,2,4,21,3,3,1,2,2,5,26,1,0,1,5,5,6,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,70,,,,,,,,,,,,,,,
Calgary,2018 Jan 1,89,2,0,3,24,25,20,12,0,1,0,2,53,2,0,1,11,19,10,9,0,1,0,0,35,0,0,2,13,6,10,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,89,,,,,,,,,,,,,,,
Calgary,2018 Feb 1,76,2,0,6,32,14,4,11,2,2,1,2,42,2,0,5,17,7,0,9,0,0,0,2,34,0,0,1,15,7,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76,,,,,,,,,,,,,,,
Calgary,2018 Mar 1,90,2,0,4,33,24,11,4,2,5,1,4,42,2,0,3,13,13,0,3,2,2,0,4,47,0,0,1,20,11,11,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,90,,,,,,,,,,,,,,,
Newfoundland,2017 Jan 1,93,2,0,21,27,11,11,8,3,4,0,6,60,2,0,20,16,1,10,3,3,1,0,4,32,0,0,1,11,10,1,4,0,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2017 Feb 1,107,3,0,17,29,18,20,11,0,1,2,6,66,2,0,16,19,3,13,7,0,1,0,5,41,1,0,1,10,15,7,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2017 Mar 1,104,2,0,20,22,19,16,14,3,1,3,4,67,1,0,20,16,8,5,8,3,1,1,4,36,1,0,0,6,11,11,5,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2017 Apr 1,86,3,0,10,12,26,14,11,3,1,2,4,54,2,0,10,6,12,11,5,1,1,2,4,31,1,0,0,6,14,3,5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2017 May 1,90,2,0,12,19,20,17,12,4,1,0,3,59,1,0,10,18,7,9,8,3,0,0,3,31,1,0,2,1,13,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2017 Jun 1,116,1,0,33,23,24,17,8,2,4,3,1,86,0,0,33,16,17,12,4,0,2,2,0,29,1,0,0,7,7,5,3,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2017 Jul 1,81,3,0,20,24,18,4,6,2,2,1,1,45,2,0,20,8,10,0,3,0,0,1,1,35,1,0,0,16,8,4,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2017 Aug 1,88,0,0,16,29,15,13,5,0,1,3,6,52,0,0,14,11,9,12,1,0,0,1,4,36,0,0,2,18,6,1,4,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2017 Sep 1,91,2,0,13,28,14,18,4,4,3,0,5,48,1,0,13,12,2,11,1,2,1,0,5,42,1,0,0,16,12,7,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2017 Oct 1,71,1,0,14,14,22,1,6,4,2,2,5,50,0,0,12,13,14,1,2,3,2,0,3,21,1,0,2,1,8,0,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2017 Nov 1,73,2,0,19,19,17,5,5,3,1,2,0,50,2,0,19,18,6,2,0,1,1,1,0,23,0,0,0,1,11,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2017 Dec 1,76,2,0,21,5,11,9,10,5,4,4,5,43,1,0,20,0,5,2,5,3,1,2,4,33,1,0,1,5,6,7,5,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2018 Jan 1,75,1,0,24,5,26,6,5,2,2,0,4,55,1,0,22,2,14,6,4,0,2,0,4,19,0,0,2,3,12,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2018 Feb 1,107,3,0,26,17,24,20,9,3,2,0,3,74,2,0,24,9,18,10,4,3,1,0,3,33,1,0,2,8,6,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Newfoundland,2018 Mar 1,95,2,0,26,29,8,12,9,1,2,3,3,64,1,0,25,19,5,1,9,1,1,1,1,31,1,0,1,10,3,11,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,